iter	Passed	Remaining
0	137	137187
1	138	69224
2	140	46610
3	141	35195
4	142	28356
5	143	23822
6	144	20482
7	145	18030
8	146	16113
9	147	14570
10	147	13306
11	148	12240
12	149	11343
13	150	10569
14	150	9897
15	151	9304
16	151	8785
17	152	8323
18	153	7905
19	153	7529
20	154	7195
21	154	6888
22	155	6603
23	155	6339
24	156	6097
25	156	5873
26	157	5672
27	157	5483
28	158	5303
29	158	5139
30	159	4981
31	159	4835
32	160	4697
33	160	4567
34	161	4445
35	161	4329
36	162	4219
37	162	4116
38	163	4018
39	163	3925
40	164	3836
41	164	3752
42	164	3671
43	165	3593
44	165	3520
45	166	3449
46	166	3381
47	167	3317
48	167	3256
49	168	3197
50	168	3140
51	169	3085
52	169	3031
53	170	2980
54	170	2930
55	171	2883
56	171	2838
57	172	2796
58	172	2754
59	173	2713
60	173	2673
61	174	2635
62	174	2597
63	175	2560
64	175	2524
65	175	2490
66	176	2457
67	177	2431
68	178	2402
69	178	2371
70	178	2341
71	179	2312
72	179	2284
73	180	2257
74	180	2230
75	181	2203
76	181	2178
77	182	2153
78	182	2129
79	183	2105
80	183	2082
81	184	2059
82	184	2035
83	184	2013
84	185	1993
85	185	1973
86	186	1953
87	186	1934
88	187	1916
89	187	1897
90	188	1879
91	188	1861
92	189	1844
93	189	1826
94	189	1809
95	190	1793
96	190	1777
97	191	1762
98	192	1747
99	192	1733
100	193	1719
101	193	1707
102	194	1694
103	195	1681
104	195	1667
105	196	1653
106	196	1640
107	196	1626
108	197	1613
109	197	1600
110	198	1588
111	198	1576
112	199	1563
113	199	1551
114	200	1539
115	200	1527
116	200	1515
117	201	1504
118	201	1494
119	202	1484
120	203	1476
121	203	1466
122	204	1456
123	204	1446
124	205	1437
125	206	1428
126	206	1419
127	206	1409
128	207	1400
129	208	1392
130	208	1383
131	209	1374
132	209	1365
133	210	1357
134	210	1348
135	211	1340
136	211	1332
137	211	1324
138	212	1316
139	213	1308
140	213	1300
141	213	1292
142	214	1285
143	215	1278
144	215	1271
145	216	1264
146	216	1257
147	217	1250
148	217	1244
149	218	1237
150	218	1230
151	219	1224
152	219	1217
153	220	1211
154	220	1204
155	221	1198
156	221	1191
157	222	1185
158	222	1179
159	223	1173
160	223	1166
161	224	1160
162	224	1154
163	225	1148
164	225	1142
165	226	1136
166	226	1130
167	227	1124
168	227	1118
169	227	1113
170	228	1107
171	228	1102
172	229	1096
173	229	1091
174	230	1085
175	230	1080
176	231	1075
177	231	1070
178	232	1065
179	232	1061
180	233	1056
181	234	1052
182	234	1047
183	235	1042
184	235	1037
185	235	1032
186	236	1028
187	236	1023
188	237	1018
189	237	1014
190	238	1009
191	238	1004
192	239	1000
193	239	995
194	240	991
195	240	986
196	241	982
197	241	977
198	241	973
199	242	969
200	242	965
201	243	960
202	243	956
203	244	952
204	244	948
205	245	944
206	245	940
207	246	936
208	246	932
209	247	929
210	247	926
211	248	923
212	249	920
213	249	916
214	250	913
215	251	911
216	251	908
217	252	904
218	252	900
219	253	897
220	253	893
221	253	889
222	254	886
223	254	882
224	255	879
225	255	875
226	256	872
227	256	868
228	257	865
229	257	862
230	257	858
231	258	855
232	258	852
233	259	848
234	259	845
235	260	842
236	260	839
237	261	835
238	261	833
239	262	830
240	262	828
241	263	825
242	264	823
243	264	820
244	265	817
245	265	814
246	266	811
247	266	808
248	267	805
249	267	803
250	268	800
251	268	797
252	269	794
253	269	791
254	269	788
255	270	785
256	270	783
257	271	780
258	271	777
259	272	774
260	272	772
261	273	769
262	273	766
263	274	764
264	274	761
265	274	758
266	275	756
267	275	753
268	276	751
269	277	750
270	278	749
271	279	747
272	279	744
273	280	742
274	280	740
275	281	738
276	281	735
277	282	733
278	283	731
279	283	729
280	284	727
281	284	725
282	285	723
283	285	721
284	286	718
285	287	716
286	287	714
287	288	713
288	289	711
289	289	709
290	290	707
291	290	705
292	291	703
293	292	701
294	292	699
295	293	697
296	294	696
297	294	694
298	295	692
299	295	690
300	296	688
301	297	686
302	297	684
303	298	683
304	299	681
305	299	679
306	300	677
307	300	675
308	301	673
309	302	672
310	302	670
311	303	668
312	303	666
313	304	665
314	305	663
315	305	661
316	306	660
317	306	658
318	307	656
319	308	655
320	308	653
321	309	651
322	310	650
323	310	648
324	311	647
325	312	645
326	312	643
327	313	641
328	313	640
329	314	638
330	314	636
331	315	634
332	316	633
333	317	632
334	317	630
335	318	628
336	318	627
337	319	625
338	319	623
339	320	622
340	321	620
341	321	619
342	322	617
343	323	616
344	323	614
345	324	612
346	324	611
347	325	609
348	325	608
349	326	606
350	327	604
351	327	603
352	328	601
353	328	600
354	329	598
355	329	596
356	330	595
357	330	593
358	331	591
359	331	589
360	332	588
361	332	586
362	333	584
363	333	583
364	334	581
365	334	579
366	335	577
367	335	576
368	336	574
369	336	572
370	337	571
371	337	570
372	338	568
373	338	566
374	339	565
375	340	564
376	340	563
377	341	561
378	341	559
379	342	558
380	342	556
381	343	555
382	343	553
383	344	552
384	344	550
385	345	548
386	345	547
387	346	546
388	346	544
389	347	543
390	347	541
391	348	540
392	348	538
393	349	537
394	350	536
395	350	534
396	351	533
397	351	531
398	352	530
399	352	529
400	353	527
401	353	526
402	354	525
403	355	523
404	355	522
405	356	521
406	356	520
407	357	518
408	357	517
409	358	515
410	358	514
411	359	512
412	359	511
413	360	510
414	360	508
415	361	507
416	361	506
417	362	504
418	362	503
419	363	501
420	363	500
421	364	499
422	364	497
423	365	496
424	365	495
425	366	493
426	366	492
427	367	491
428	367	489
429	368	488
430	369	487
431	370	486
432	370	485
433	371	484
434	371	482
435	372	481
436	372	480
437	373	479
438	374	478
439	374	476
440	375	475
441	375	474
442	376	472
443	377	472
444	377	471
445	378	469
446	378	468
447	379	467
448	380	466
449	380	465
450	381	464
451	382	463
452	382	462
453	383	461
454	384	460
455	385	460
456	386	458
457	387	458
458	387	457
459	388	455
460	388	454
461	389	453
462	390	452
463	390	451
464	391	450
465	391	449
466	392	447
467	393	446
468	393	445
469	394	444
470	394	443
471	395	441
472	395	440
473	396	439
474	396	438
475	396	436
476	397	435
477	398	434
478	398	433
479	399	432
480	399	431
481	400	430
482	401	429
483	401	428
484	402	427
485	402	425
486	403	424
487	403	423
488	404	422
489	405	421
490	405	420
491	406	419
492	406	418
493	407	417
494	407	415
495	408	414
496	408	413
497	409	412
498	409	411
499	410	410
500	410	408
501	411	407
502	411	406
503	411	405
504	412	404
505	412	403
506	413	402
507	414	401
508	414	400
509	415	399
510	416	398
511	416	397
512	417	396
513	417	395
514	418	394
515	419	393
516	419	392
517	420	390
518	420	389
519	421	389
520	422	388
521	422	386
522	423	385
523	423	384
524	424	383
525	424	382
526	425	381
527	425	380
528	426	379
529	427	378
530	427	377
531	428	376
532	428	375
533	429	375
534	431	375
535	432	374
536	432	373
537	433	372
538	433	371
539	434	370
540	435	369
541	436	368
542	436	367
543	437	366
544	437	365
545	438	364
546	439	363
547	439	362
548	439	361
549	440	360
550	440	359
551	441	358
552	441	357
553	442	356
554	443	355
555	443	354
556	444	353
557	444	352
558	445	351
559	446	350
560	446	349
561	446	348
562	447	347
563	447	346
564	448	345
565	448	344
566	449	343
567	449	342
568	450	340
569	450	339
